"NOTICEID","REFERENCENUMBER","DATEPUBLISHED","VALUEMIN","VALUEMAX","STATUS","URL","ORG_NAME","ORG_CONTACTEMAIL","TITLE","DESCRIPTION","NOTICETYPE","REGION","NOTICE_STATE","NOTICE_STATE_CHANGE_DATE","CLASSIFICATION","NUM_DOCS"
"1702149","1247","15/01/2015","125000.00","305000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1702149/","NHS Commercial Solutions","NHSCS.commissioning@nhs.net","Evaluation of the Women’s Offender Personality Disorder (OPD) Pathway and Psychologically Informed Planned Environments (PIPEs)","The Offender Personality Disorder (OPD) Pathway covers the assessment, management and treatment of offenders likely to have PD who present a high risk of reoffending (men and women) and serious harm to others (men). It is jointly co-commissioned by ","Below OJEU: Tentative","England","Open","15/01/2015","73000000|85000000","0",
"1705691","CR150002","15/01/2015","50000.00","65000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705691/","UK Shared Business Services Ltd.","Research@uksbs.co.uk","UK SBS Quantitative review of UK multi- and interdisciplinary research","The commissioning organisations HEFCE, in partnership with the other UK higher education funding bodies, and RCUK are commencing a programme of activity to gather evidence on and develop our understanding of the UK research landscape for multi- and ","Below OJEU: Contract","Bristol, City of","Closed","15/01/2015","79310000|79300000|79312000|79342000","5",
"1705693","ERDF AIPT v2","15/01/2015","10000.00","15000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705693/","Aston University","j.leigh@aston.ac.uk","ERDF AIPT - High Precision Translation Stages","The scope of the contract is to obtain precision optical components (see Specification in the attached document).","Below OJEU: Contract","Birmingham","Closed","15/01/2015","38636000|38621000|38600000|38000000|32560000","1",
"1702279","ERDF AIPT v2","13/01/2015","10000.00","15000.00","Replaced","http://data.gov.uk/data/contracts-archive/contract/1702279/","Aston University","j.leigh@aston.ac.uk","ERDF AIPT - High Precision Translation Stages","The scope of the contract is to obtain precision optical components (see Specification in the attached document).","Below OJEU: Contract","Birmingham","Closed","15/01/2015","38636000|38621000|38600000|38000000|32560000","1",
"1705694","JS 01/15","15/01/2015","20000.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705694/","Research Sites Restoration Ltd","janet.smith@research-sites.com","Decontamination of Reinforced Concrete Floor, by Removal of Top Surface, External Active Sludge Tank (EAST) Facility, RSRL, Winfrith Site","Research Sites Restoration Limited (RSRL), at its Winfrith Site located in Dorset, has a requirement for a Contractor to decontaminate a reinforced concrete floor, by removing the top surface of the floor in its External Active Sludge Tank (EAST) fa","Below OJEU: Contract","Dorset CC","Closed","15/01/2015","98391000","0",
"1705695","SP/15/679","15/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705695/","Estate Management Dept","p.carter@lancaster.ac.uk","Measured Land Survey & Building Outline Survey ","Lancaster University (LU) is seeking an organisation to provide a measured survey of Lancaster University and the specific areas indicated on the enclosed tender drawing and the enclosed documents. This survey information is required to inform the d","Below OJEU: Contract","University","Closed","15/01/2015","71355000|71250000|71251000|71353200","0",
"1702272","NCCA40833","15/01/2015","0.00","0.00","Live","http://data.gov.uk/data/contracts-archive/contract/1702272/","Norfolk County Council","partb@norfolk.gov.uk","Norfolk County Council Public Health Primary Care Contracts","Norfolk County Council is inviting providers to deliver primary care services (previously known as local enhanced services). These will continue to be locally developed services designed to meet local health needs, improve access and convenience, ex","Below OJEU: Contract","Norfolk","Open","15/01/2015","85100000|85000000","0",
"1680534","SCC - 000123","22/12/2014","0.00","0.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1680534/","Surrey County Council","myhelpdeskfinance@surreycc.gov.uk","SCC IC Public Bus Services Dynamic Purchasing System","SCC will be procuring its requirements for the provision of public bus services through this Dynamic Purchasing System. The DPS is being designed to be compliant with current Public Contract Regulations and future Regulations once adopted from the P","Below OJEU: Contract","Grove","Closed","15/01/2015","60112000|60170000|60100000|60000000","0",
"1702277","PK186","15/01/2015","10000.00","30000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1702277/","Vinci Facilities","juan.gonzalez@vincifacilities.com","PK186 Queen Caroline Temple Roof","The Royal Parks are seeking expressions of interest from experienced roofing contractors for the fitting of new zinc sheet roof coverings to a listed monument in Kensington Gardens, Central London.","Below OJEU: Contract","London","Closed","15/01/2015","45261213|44112400|45261920|45261910|45261900|45261210|45260000|45261212|45261211|45262000|14713000","0",
"1702208","NELCSU/WELC/CH/SO/2014/00001 ","15/01/2015","73584.00","73584.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1702208/","NEL CSU","Sanjay.Ojha@nelcsu.nhs.uk","Super Patient Participation Group","This service required the provider organisation to deliver the ‘Super Patient Participation Groups’ (Super PPGs) from 11 August 2014 until 10 July 2016 for the six consortia (Well, Rainbow and Sunshine, Klear, North Hackney and South West) based in ","Below OJEU: Contract Award","Inner London","Published","15/01/2015","85149000|85140000","0",
"1704007","RM4174 L0626 ","15/01/2015","11745.00","11745.00","Live","http://data.gov.uk/data/contracts-archive/contract/1704007/","","gpsopssouth@ccs.gsi.gov.uk","Omnibus Polling Scotland","Please note that this procurement has been completed and this publication is for transparency purpose only. This procurement was carried out under UKSBS framework MR130001 Lot 4 The requirement is for polling of the general public in Scotland. Polli","Published Contract Doc Set","London","Published","15/01/2015","73210000","6",
"1705701","","15/01/2015","10000.00","113000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705701/","Information Systems and Services","ISSBATCIS-Comrcl2a1@mod.uk","GB-Bristol: Replacement of Equipment used to Support RF Radiation Hazard Assessments","A full system will have RF measurement probes that the capability to measure E fields between at least 100 kHz and 6 GHz, H fields between at least 100 kHz and 1 GHz. The measurement probes must measure the RF field isotropically and be able to fit ","Below OJEU: Contract","South West","Closed","15/01/2015","38341000","0",
"1705700","RM1043 DSF01-151","15/01/2015","0.00","0.01","Archived","http://data.gov.uk/data/contracts-archive/contract/1705700/","Crown Commercial Service","ICT_Services@ccs.gsi.gov.uk","RM1043 Digital Services - MOJ","Her Majesty&#39;s Courts &amp; Tribunals Service (HMCTS) and the Crown Prosecution Service (CPS) have established the Criminal Justice System Common Platform Programme (CJS CPP) as a joint initiative to define and implement IT-enabled transformation","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","72000000","7",
"1705688","PPRO 04/091/068","15/01/2015","171790.63","171790.63","Live","http://data.gov.uk/data/contracts-archive/contract/1705688/","","dftprocurement@dft.gsi.gov.uk","Provision of Data Collection Services- Alcohol & Drugs in Road Fatalities","The Department for Transport requires to set in place an efficient process to collect, maintain and analyse coroners data covering the years 2014, 2015 and 2016 for a database of blood alcohol concentrations in all categories of road traffic fatalit","Published Contract Doc Set","Bedford","Published","15/01/2015","73000000","2",
"1705689","PPRO 04/091/051","15/01/2015","182464.00","182464.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705689/","","dftprocurement@dft.gsi.gov.uk","Research into Mobile Phone Usage in Vehicles","The Department for Transport requires to assess the habits of road users in respect of mobile phone usage whilst driving and to measure the usage of mobiles in mobile and stationary traffic.","Published Contract Doc Set","London","Published","15/01/2015","73000000","2",
"1470734","PPRO 04/48/23","15/01/2015","75000.00","75000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1470734/","","dftprocurement@dft.gsi.gov.uk","Financial Adviser in Respect of the Sale of UK Eurostar Stake ","The Department for Transport requires a detailed assessment of the feasibility of the sale of the UK Governments&#39; share holding in Eurostar","Published Contract Doc Set","London","Published","15/01/2015","73000000","2",
"1705702","RM1043 DSF01-161","15/01/2015","0.00","0.01","Archived","http://data.gov.uk/data/contracts-archive/contract/1705702/","Crown Commercial Service","ICT_Services@ccs.gsi.gov.uk","RM1043 Digital Services - MOJ Light touch RFP","Her Majesty&#39;s Courts &amp; Tribunals Service (HMCTS) and the Crown Prosecution Service (CPS) have established the Criminal Justice System Common Platform Programme (CJS CPP) as a joint initiative to define and implement IT-enabled transformation","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","72000000","8",
"1472715","PPRO/04/48/23","16/07/2014","75000.00","75000.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1472715/","","dftprocurement@dft.gsi.gov.uk","Financial Adviser in Respect of the Sale of UK Eurostar Stake","A detailed assessment of the feasibility of the sale of the UK Government&#39;s share holding in Eurostar","Published Contract Doc Set","London","Published","15/01/2015","73000000","2",
"1705704","932/11/2014","15/01/2015","40000.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705704/","Department of Energy and Climate Change (DECC)","adam.bell@decc.gsi.gov.uk","Iron Mains Risk Reduction Programme Technical & Spatial Analysis: Phase 1","The Department of Energy and Climate Change (“DECC”) wishes to appoint a Supplier to undertake the first phase of a project to consider how the cost of the Iron Mains Risk Reduction Programme (“IMRRP) could be reduced by targeting investment away fr","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","73000000","1",
"1705705","282","15/01/2015","270000.00","270000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705705/","","jessica.dunn@education.gsi.gov.uk","Research into the lives of young carers in England","Research into the lives of young carers in England","Published Contract Doc Set","England","Published","15/01/2015","73110000","0",
"1705703","HFT00541","15/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705703/","Humber NHS Foundation Trust","","HFT/144/2015 - WESTEND - STONE CILL WORKS","Humber NHS Foundation Trust is looking to enter into a contract for The Repair and cleaning of Masonry using the Sand Jet System. The location of the works to be carried out is:- West End Children’s Assessment Unit.
","Below OJEU: Contract","Kingston upon Hull, City of","Closed","15/01/2015","45215100","5",
"1705709","0309","15/01/2015","120000.00","120000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705709/","Bournemouth Borough Council","","Security for Unauthorised Encampments","Important information - PLEASE READ Suppliers interested in this opportunity should express their interest by clicking on the &#39;login and register interest&#39; button below. New users to the system must register first to obtain a user name and p","Published Tender Doc Set","Bournemouth and Poole","Published","15/01/2015","79000000|79710000|79713000","0",
"1705712","CWSCC - 000793","15/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705712/","West Sussex County Council (CAP)","daniel.jackson@westsussex.gov.uk","WSCC DJ Framework Agreement for Supported Living and Family Support Services for Adults with Learning Disabilities and Disabled Children and Young People in West Sussex","This is a tender for the provision of Framework Agreement for Supported Living and Family Support Services for Adults with Learning Disabilities and Disabled Children and Young People in West Sussex. To accompany this tender we will be holding two b","Below OJEU: Contract","Chichester South","Closed","15/01/2015","85000000|98000000|85312100|85312400|85300000","0",
"1705711","CWSCC - 000793","15/01/2015","0.00","0.00","Retracted","http://data.gov.uk/data/contracts-archive/contract/1705711/","West Sussex County Council (CAP)","daniel.jackson@westsussex.gov.uk","WSCC DJ Framework Agreement for Supported Living and Family Support Services for Adults with Learning Disabilities and Disabled Children and Young People in West Sussex","This is a tender for the provision of Framework Agreement for Supported Living and Family Support Services for Adults with Learning Disabilities and Disabled Children and Young People in West Sussex. To accompany this tender we will be holding two b","Below OJEU: Contract","Chichester South","Closed","15/01/2015","85000000|98000000|85312100|85312400|85300000","0",
"1705713","283","15/01/2015","223025.00","223025.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705713/","","helen.kay@education.gsi.gov.uk","Children's homes workforce census and research project","Children&#39;s homes workforce census and research project","Published Contract Doc Set","England","Published","15/01/2015","73110000","1",
"1705714","284","15/01/2015","111142.00","111142.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705714/","","louise.woodward@education.gsi.gov.uk","Social worker decision making project","Social worker decision making project","Published Contract Doc Set","England","Published","15/01/2015","73110000","1",
"1705715","Bravo Project 1873","15/01/2015","0.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705715/","Public Health England","tim.purchase@phe.gov.uk","Help is at Hand ","Please see attached Specification Document.","Below OJEU: Contract","England","Closed","15/01/2015","85100000|85140000|85147000","0",
"1680607","ENV 1060","15/01/2015","0.00","160000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1680607/","Hampshire County Council","procurement.partners@hants.gov.uk","SUPPLY, INSTALLATION & MAINTENANCE OF CAST METAL FINGER-POST SIGNS","Hampshire County Council is the Highway Authority responsible for a large number of traditional finger post road signs across Hampshire. A specialist maintenance company is required to refurbish and/or replace signs to cope with general wear and tea","Below OJEU: Contract","Hampshire CC","Closed","15/01/2015","50230000|45442190|45442180|45233293|44470000|34992200|34928472|14721000","0",
"1705698","RM4190 L0695","15/01/2015","18550.00","18550.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705698/","","gpsopssouth@ccs.gsi.gov.uk","RM4190 - L0695; MSP Warrington Youth Catering Crew - Contract","This contract has been awarded and is published for Transparency purposes. This contract is aimed at helping the Potential PSM to transition into a successful and sustainable PSM, enabling appropriate commercial skills to develop, by 31st March 2015","Published Contract Doc Set","United Kingdom","Published","15/01/2015","79400000","2",
"1702214","UI_DWP_101520","14/01/2015","1.00","391800.00","PendingReplacement","http://data.gov.uk/data/contracts-archive/contract/1702214/","Department for Work and Pensions Employment Category Commercial Team","sarah.ogden1@dwp.gsi.gov.uk","Achieve your Potential - Support for Post Work Programme JSA and Non-Work Programme ESA Claimants in Birmingham and Solihull JobCentre Plus District","The provision is targeted at JSA claimants returning from Work Programme and Non-Work Programme ESA claimants, in the Birmingham an Solihull JCP District, who are disengaged and lack the skills to move them closer to the labour market. The aim is to","Below OJEU: Contract","Birmingham","Closed","15/01/2015","80000000","3",
"1705718","UI_DWP_101520","15/01/2015","1.00","391800.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705718/","Department for Work and Pensions Employment Category Commercial Team","sarah.ogden1@dwp.gsi.gov.uk","Achieve your Potential - Support for Post Work Programme JSA and Non-Work Programme ESA Claimants in Birmingham and Solihull JobCentre Plus District","The provision is targeted at JSA claimants returning from Work Programme and Non-Work Programme ESA claimants, in the Birmingham an Solihull JCP District, who are disengaged and lack the skills to move them closer to the labour market. The aim is to","Below OJEU: Contract","Birmingham","Closed","15/01/2015","80000000","3",
"1705719","CRH 00542","15/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705719/","Chesterfield Royal Hospital NHS Foundation Trust","joantalbot@nhs.net","Bolsover Wellness Physical Activity & Well-being Programme for Bolsover District","‘Bolsover Wellness’ is a long established health improvement programme covering the district of Bolsover that aims to increase participation levels in physical activity by extending access to a range of community based physical activity programmes f","Below OJEU: Contract","St Leonard&#39;s","Closed","15/01/2015","85323000","0",
"1705717","LSBU5/0027/37","15/01/2015","3400000.00","5000000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705717/","","","LSBU5/SPARES LSBU5/0027/37","GENERAL SUPPORT ENABLING CONTRACT","Published Tender Doc Set","Donnington","Published","15/01/2015","35420000","2",
"1705720","3609479","15/01/2015","14385.00","14385.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705720/","","minorworkssouth@noms.gsi.gov.uk","Cell Call Replacement at HMP Elmley","Cell call replacement at HMP Elmley","Published Contract Doc Set","Kent","Published","15/01/2015","45000000","1",
"1705721","3609500","15/01/2015","35000.00","35000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705721/","","minorworkssouth@noms.gsi.gov.uk","Emergency Replacement of TV Head End Distribution Systems at HMP Channings Wood","Emergency replacement of TV head end distribution systems at HMP Channings Wood","Published Contract Doc Set","South West","Published","15/01/2015","45000000","1",
"1705723","3609517","15/01/2015","10284.00","10284.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705723/","","minorworkssouth@noms.gsi.gov.uk","Installation of a Stairlift at HMP Holloway","Installation of a stairlift at HMP Holloway","Published Contract Doc Set","London","Published","15/01/2015","44115600","1",
"1705726","HSCIC-14-0100","15/01/2015","25000.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705726/","Health and Social Care Information Centre","procmail@hscic.gov.uk","GB-Leeds: HSCIC-14-0100 - Media monitoring & Evaluation Service","A contract opportunity for a Health and Social Care Information Centre requirement with the reference HSCIC-14-0100 is now available. For more information about this opportunity, please visit the Delta eSourcing portal at: https://www.delta-esourcin","Below OJEU: Contract","Leeds","Closed","15/01/2015","71620000|72316000","0",
"1705729","0058","15/01/2015","40000.00","40000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705729/","Brighton and Sussex University Hospitals NHS Trust","mike.guest@bsuh.nhs.uk","BS-02249 Mortuary Refrigerated Cabinets & Cold Rooms","Supply and installation of Mortuary refrigerated cabinets, storage trolleys and cold rooms.","Below OJEU: Contract","East Brighton","Closed","15/01/2015","85000000","0",
"1705724","100119","15/01/2015","15765.00","15765.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705724/","","julie.gratton@hsl.gsi.gov.uk","Numerous Components for Gas Sensor Network","Numerous Components for Gas Sensor Network","Published Contract Doc Set","Buxton Central","Published","15/01/2015","31000000|38000000|30000000","0",
"1705692","RB0115","15/01/2015","0.00","140000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705692/","Cornwall Council - Central Procurement","csftenders@cornwall.gov.uk","Oral Health Improvement for Children aged 3-5 years","Dental caries (tooth decay) is a significant public health problem in England. Sizeable inequalities in the incidence of caries exist between affluent and deprived communities, and it is a common cause of hospital admissions in children. An oral hea","Below OJEU: Contract","Cornwall and Isles of Scilly","Closed","15/01/2015","85131000|85130000|85100000","1",
"1705686","CPD/004/109/090","15/01/2015","0.00","0.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705686/","Department for Communities and Local Government","","Evaluation of the Expanded Troubled Families Programme","The Troubled Families Team in the Department for Communities and Local Government (DCLG) is commissioning an independent national evaluation of the expanded Troubled Families Programme. This evaluation aims to demonstrate impact; measure value for m","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","73110000","5",
"1704054","26120953/1","15/01/2015","18520.00","18520.00","Live","http://data.gov.uk/data/contracts-archive/contract/1704054/","","procurement@biglotteryfund,org.uk","Inspiring Learning for All Framework (ART005-0028)","The Service Provider will provide the following Services to Arts Council England: Ensure the framework, outcomes, guidance and resources are applicable to participatory activities in a range of informal learning environments. Simplify and update the","Published Contract Doc Set","United Kingdom","Published","15/01/2015","73300000","1",
"1705731","Y&amp;NE 173 14/15HAL ","15/01/2015","19606.67","19606.67","Live","http://data.gov.uk/data/contracts-archive/contract/1705731/","","transparencysgrm@highways.gsi.gov.uk","517414 A19_A189 Moor Farm Northumberland Environment Appraisal ","To appraise the identified highway improvement options for the Moor Farm Junction in relation to environmental impacts. Consider noise and air pollution, changes in traffic flow in relation to each option. Preliminary flood risk assessment to be und","Published Contract Doc Set","England","Published","15/01/2015","71500000","0",
"1705728","CM/PHV/14/5453","15/01/2015","0.01","0.01","Live","http://data.gov.uk/data/contracts-archive/contract/1705728/","","","Contract for the supply of rabies immunoglobulin","Contract for the supply of rabies immunoglobulin primarily intended for administration to individuals at risk of exposure to rabies","Published Contract Doc Set","England","Published","15/01/2015","33651520","2",
"1705735","1428","15/01/2015","195000.00","195000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705735/","","transparencysgrm@highways.gsi.gov.uk","Improving Customer Experience through Roadworks ","Improving Customer Experience through Roadworks ","Published Contract Doc Set","England","Published","15/01/2015","71500000","1",
"1705737","HSL074","15/01/2015","24156.00","24156.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705737/","","julie.gratton@hsl.gsi.gov.uk","Structural Reliability Technical Advisor","Structural Reliability Technical Advisor","Published Contract Doc Set","Buxton Central","Published","15/01/2015","71500000|71000000|73200000","0",
"1705738","A007","15/01/2015","100000.00","100000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705738/","","TransparencySGRM@highways.gsi.gov.uk","RM919 Legal Framework Lot 6 - General Commercial: A007 Legal support for DBFO contracts","A007 Legal support for DBFO contracts.","Published Contract Doc Set","England","Published","15/01/2015","79100000","1",
"1705739","TTD TMT 108","15/01/2015","3195291.00","3195291.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705739/","","SGRM@highways.gsi.gov.uk","TTD Traffic Management Technology 108: Supply, Installation and Commissioning of Message Signs & Signals Renewals and Pinch Point Schemes MS2x12s and MS3s","Supply, Installation and Commissioning of Message Signs &amp; Signals Renewals and Pinch Point Schemes MS2x12s and MS3s.","Published Tender Doc Set","England","Published","15/01/2015","71000000|31000000","4",
"1705742","HSL041","15/01/2015","48195.00","48195.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705742/","","julie.gratton@hsl.gsi.gov.uk","Equipment for Gas Sensor Network","Equipment for Gas Sensor Network","Published Contract Doc Set","Buxton Central","Published","15/01/2015","71700000|39000000|42000000","0",
"1705746","52588QGW","15/01/2015","25000.00","50000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705746/","Sheffield Teaching Hospitals","gregg.welburn@sth.nhs.uk","GB-SHEFFIELD: INTERMITTENT CATHETERS","SUPPLY OF INTERMITTENT CATHETERS","Below OJEU: Contract","Sheffield","Closed","15/01/2015","33141200","0",
"1705744","RM4196 L0593 ","15/01/2015","0.00","0.01","Archived","http://data.gov.uk/data/contracts-archive/contract/1705744/","Government Procurement Service - London","gpsopssouth@gps.gsi.gov.uk","RM4196 L0593 Social Impact P2P Fund","The purpose of the procurement is to appoint an organisation to administer the Social Impact Peer-to-Peer (p2p) Fund, manage the relationships with the participating partner platforms and help to build a pipeline of viable social ventures. Please no","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","75100000","5",
"1705748","434","15/01/2015","100000.00","100000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705748/","","procurement@english-heritage.org.uk","PROVISION OF A LEASED SINGLE ENGINE PISTON HIGH WING AIRCRAFT","***This is an award notice not a live opportunity*** Please visit https://in-tendhost.co.uk/english-heritage for full information. The Remote Sensing team of English Heritage would like to lease an aircraft in order to undertake 90 hours of flying p","Published Contract Doc Set","United Kingdom","Published","15/01/2015","34711200","0",
"1705750","OCC150115","15/01/2015","55000.00","65000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1705750/","Office of the Children&#39;s Commissioner","procurement.mailbox@childrenscommissioner.gsi.gov.uk","Research into children and young people’s experiences of gender ","The objective of this work is - To design and implement research that seeks to explore children and young people’s experience of gender roles, stereotypes and inequalities and the impact that gender has on their lives - To capture children and young","Below OJEU: Contract","United Kingdom","Closed","15/01/2015","79000000|73000000|85000000|80000000","2",
"1705753","OCC150115","15/01/2015","55000.00","65000.00","Live","http://data.gov.uk/data/contracts-archive/contract/1705753/","","procurement.mailbox@childrenscommissioner.gsi.gov.uk","Research into children and young people’s experiences of gender ","The objective of this work is - To design and implement research that seeks to explore children and young people’s experience of gender roles, stereotypes and inequalities and the impact that gender has on their lives - To capture children and young","Published Tender Doc Set","United Kingdom","Published","15/01/2015","79000000|73000000|85000000|80000000","2",
"1702171","CR-12-14-FLOWERS&amp;ITEMS","15/01/2015","35000.00","100000.00","Archived","http://data.gov.uk/data/contracts-archive/contract/1702171/","The University of Warwick","","The Provision of Flowers and Associated Items","This is an open tender procurement exercise on behalf of the University of Warwick for the provision of Flowers and Associated Items for the period March 2015 to February 2018 with the option to extend of a further one year (February 2019) subject t","Below OJEU: Contract","Coventry","Closed","15/01/2015","77330000|03121210","0",
